date,player_name,tries_scored,confidence,notes,source_title
2018-01-28,Jackson,3,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,Steven L.,2,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,Lewis,1,medium,Extracted from list,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,Eric,1,medium,Extracted from list,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,Aly,1,medium,Extracted from list,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,Edmund,1,medium,Extracted from list,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-21,Daniel,1,medium,Narrative mention (reserve/substitute),Recap of UNT friendly and upcoming Abilene Christian match
