date,kicker_name,conversions_made,conversions_attempted,confidence,notes,source_title
1/28/2018,Lewis Hopkins,5,9,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
1/21/2018,Lewis,1,1,medium,Penalty kick (narrative mention),Recap of UNT friendly and upcoming Abilene Christian match
