date,opponent,utd_score,opponent_score,confidence,notes,source_title
2018-02-24,Texas St.,33,31,high,,Recap ﻿of 1st day of Lonestar Playoffs
2018-02-24,Texas St.,40,33,high,,Recap ﻿of 1st day of Lonestar Playoffs
2018-02-24,Unknown,0,57,medium,Score from narrative (opponent unknown),Recap ﻿of 1st day of Lonestar Playoffs
2018-02-24,Unknown,17,17,medium,Half-time score (tied),Recap ﻿of 1st day of Lonestar Playoffs
2018-01-28,ACU,55,0,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-21,UNT,3,64,high,,Recap of UNT friendly and upcoming Abilene Christian match
