date,kicker_name,conversions_made,conversions_attempted,confidence,notes,source_title
2018-01-28,Lewis Hopkins,5,9,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-21,Lewis,1,1,medium,Penalty kick (narrative mention),Recap of UNT friendly and upcoming Abilene Christian match
